HOT9,YJコード,組成の記述
100338301,1124003C1106,ネルロレン細粒1％
100340601,1124003F1021,ベンザリン錠2
100342001,1124003F2044,チスボン錠５
100346801,1124003F2176,ネルロレン錠「5」
100347502,1124003F2184,ノイクロニック錠5
100350501,1124003F2222,ベンザリン錠5
100345101,1124003F2230,ネルボン錠５ｍｇ
100343701,1124003F2249,ニトラゼパム錠5mg「トーワ」
100349901,1124003F2257,ヒルスカミン錠５ｍｇ
100352901,1124003F3040,チスボン錠１０
100354301,1124003F3083,ネルボン錠１０ｍｇ
100355001,1124003F3091,ネルロレン錠「10」
100357401,1124003F3121,ベンザリン錠10
100361102,1124004F1042,エリミン錠3mg
100362802,1124004F2030,エリミン錠5mg
100363501,1124005C1032,ソメリン細粒１％
100364201,1124005F1020,ソメリン錠５ｍｇ
100365901,1124005F2027,ソメリン錠１０ｍｇ
100368003,1124007F1020,ハルシオン0.125mg錠
115083401,1124007F1038,ハルラック錠0.125mg
100370301,1124007F1046,トリアゾラム錠0.125mg「EMEC」￥ｎ
116711501,1124007F1054,パルレオン錠0.125mg
119184401,1124007F1062,ミンザイン錠0.125mg
120150501,1124007F1070,トリアゾラム錠０．１２５ｍｇ「ＪＧ」
100371003,1124007F2026,ハルシオン0.25mg錠
100372701,1124007F2034,アサシオン0.25mg錠
100373401,1124007F2042,アスコマーナ錠0.25
100374101,1124007F2050,カムリトン0.25mg錠
100376501,1124007F2093,ネスゲン錠「0.25」
115084101,1124007F2107,ハルラック錠0.25mg
100378902,1124007F2115,パルレオン錠0.25mg
116369801,1124007F2158,トリアゾラム錠0.25mg「TSU」
100380201,1124007F2166,ミンザイン錠0.25mg
100375801,1124007F2174,トリアラム錠0.25mg
120149901,1124007F2182,トリアゾラム錠０．２５ｍｇ「ＪＧ」
100382601,1124008F1024,サイレース錠１mg￥ｎ
100383302,1124008F1032,ロヒプノール錠1￥ｎ
100384001,1124008F1040,ビビットエース錠1ｍｇ
113897901,1124008F1059,フルトラース錠１ｍｇ
112089901,1124008F1067,フルニトラゼパム錠1mg「アメル」
100385701,1124008F2020,サイレース錠２mg￥ｎ
100386402,1124008F2039,ロヒプノール錠2￥ｎ
114656101,1124008F2047,フルニトラゼパム錠2mg「アメル」
115277701,1124008F2055,ビビットエース錠2ｍｇ
100388801,1124009F1037,グッドミン錠0.25mg
100392501,1124009F1070,ノクスタール錠０．２５ｍｇ
100394901,1124009F1096,レドルパー錠0.25mg
100396301,1124009F1118,ロンフルマン錠0.25mg
100397002,1124009F1126,アムネゾン錠0.25mg
100399401,1124009F1150,ブロチゾラン錠0.25mg
114657801,1124009F1185,ブロチゾラムM錠0.25「EMEC」￥ｎ
116885301,1124009F1193,ブロチゾラム錠0.25mg「YD」
112091202,1124009F1207,ブロメトン錠0.25mg
100390101,1124009F1215,ゼストロミン錠0.25mg
100387104,1124009F1223,レンドルミン錠0.25mg
112090501,1124009F1231,ネストローム錠0.25ｍｇ
100391802,1124009F1240,ソレントミン錠0.25mg
100398701,1124009F1258,ブロゾーム錠0.25mg
100395601,1124009F1266,レンデム錠0.25mg
100389501,1124009F1274,ブロチゾラム錠0.25mg「タイヨー」
100393202,1124009F1282,*ブロチゾラム錠0.25mg「ＣＨ」
120154301,1124009F1290,ブロチゾラム錠0.25mg「JG」
114658501,1124009F2025,レンドルミンD錠0.25mg
116712201,1124009F2041,ブロチゾラムOD錠0.25mg「タイヨー」
119209401,1124009F2050,レンデムD錠0.25mg
120155001,1124009F2068,ブロチゾラムOD錠0.25mg「JG」
119872001,1124009F3021,*ブロゾーム錠0.125mg
100400701,1124010F1021,エバミール錠1.0
100401402,1124010F1030,ロラメット錠1.0
100404501,1124013B1031,セレナール散10％
100407601,1124013C1053,*ペルサール細粒１０％
100408301,1124013F1033,セレナール錠5
100409001,1124013F2064,セレナール錠10
100411301,1124013F2080,トッカータ錠10mg
100412001,1124013F2110,ネブスン錠10ｍｇ
100413701,1124013F2129,ペルサール錠１０ｍｇ
100414401,1124013F3109,ペルサール錠２０ｍｇ
100416801,1124014B1036,セパゾン散１％
100418201,1124014F1038,セパゾン錠１
100420501,1124014F2034,セパゾン錠２
100421202,1124015M2038,メンドンカプセル7.5mg￥ｎ
100424301,1124017B1129,セルシン散1％
100422902,1124017B1137,ジアゼパム散1％「アメル」
100425001,1124017B1145,ホリゾン散1％
100422910,1124017B1161,リリーゼン散1％
100422905,1124017B1170,パールキット散１％
100429801,1124017F2046,ジアゼパム錠２「サワイ」
100430401,1124017F2054,ジアゼパム錠2「トーワ」
100431101,1124017F2089,ジアパックス錠2mg
100432801,1124017F2097,セエルカム錠2
100433501,1124017F2100,セレナミン錠２mg
100436601,1124017F2135,2mgセルシン錠
100437301,1124017F2143,パールキット錠２mg
100438001,1124017F2151,ホリゾン錠2mg
100439702,1124017F2160,リリーゼン錠2mg
100441001,1124017F2194,ジアゼパム錠2mg「アメル」
100445801,1124017F4049,5mgセルシン錠
100447201,1124017F4065,ジアゼパム錠5「トーワ」
100449601,1124017F4090,ジアパックス錠5mg
100450201,1124017F4103,セエルカム錠5
100451901,1124017F4111,セレナミン錠５mg
100454001,1124017F4154,パールキット錠５mg
100455701,1124017F4162,ホリゾン錠5mg
100457101,1124017F4200,ジアゼパム錠5mg「アメル」
100460101,1124017F5037,10mgセルシン錠
100458804,1124017F5045,セエルカム錠10
100462501,1124017Q1032,セルシンシロップ0.1％
100464902,1124018F1028,セダプランコーワ錠5
100465602,1124018F2024,セダプランコーワ錠10
100466302,1124019C1034,エリスパン細粒0.1％
100467002,1124019F1030,エリスパン錠0.25mg
100469401,1124020C1045,レキソタン細粒1％￥ｎ
100468703,1124020C1053,セニラン細粒1％
100470001,1124020F1025,レキソタン錠1￥ｎ
100472401,1124020F2030,レキソタン錠2￥ｎ
100471703,1124020F2048,セニラン錠2mg
100473103,1124020F3036,セニラン錠3mg
100475501,1124020F4032,レキソタン錠5￥ｎ
100474803,1124020F4040,セニラン錠5mg
100478601,1124021F1046,メダゼパム錠2（ツルハラ）
100479301,1124021F1054,レスミット錠２
100483001,1124021F2123,メダゼパム錠5（ツルハラ）
100486101,1124021F2166,レスミット錠５
100490801,1124022F1024,アズロゲン錠0.5
100493902,1124022F1067,ワイパックス錠0.5
100491501,1124022F1075,ユーパン錠0.5mg
100495302,1124022F2071,ワイパックス錠1.0
100494602,1124022F2080,アズロゲン錠1.0
100494601,1124022F2101,ユーパン錠1.0mg
100496001,1124023F1029,コンスタン0.4mg錠
100497703,1124023F1037,ソラナックス0.4mg錠
100499101,1124023F1053,メデポリン錠0.4
113899301,1124023F1088,アゾリタン錠0.4
100498401,1124023F1096,カームダン錠0.4mg
112099801,1124023F1100,アルプラゾラム錠0.4mg「トーワ」
100500401,1124023F2025,コンスタン0.8mg錠
100501103,1124023F2033,ソラナックス0.8mg錠
119799001,1124023F2041,*カームダン錠0.8mg
120122201,1124023F2050,※※アルプラゾラム錠0.8mg「トーワ」
120110901,1124023F2068,**メデポリン錠0.8
100502805,1124024C1035,コレミナール細粒１％
100503505,1124024F1031,コレミナール錠４mg
100504201,1124025C1030,メレックス細粒０．１％
100505901,1124025F1028,メレックス錠０．５ｍｇ
100506601,1124025F2024,メレックス錠１ｍｇ
100507301,1124026C1085,グランダキシン細粒10％￥ｎ
113614207,1124026C1093,※ツルベール細粒10%
113614208,1124026C1107,*トフィソパム細粒10％「ＣＨ」
100512701,1124026F1022,グランダキシン錠50￥ｎ
113615924,1124026F1030,エマンダキシン錠50mg
113615910,1124026F1049,クラソパン錠50mg
113615904,1124026F1111,トフィルシン錠50
113615903,1124026F1120,トルバナシン錠50
113615908,1124026F1219,グランパム錠50mg
113615905,1124026F1227,ハイミジン錠50ｍｇ
113615922,1124026F1235,トロンヘイム錠50mg
100524003,1124026F1243,バイダキシン錠50mg
113615902,1124026F1251,トフィス錠50mg
113615907,1124026F1260,マイロニン錠５０ｍｇ
113615917,1124026F1278,コバンダキシン錠50mg
113615914,1124026F1286,トフィール錠５０ｍｇ
100530102,1124027F1035,レスタス錠２ｍｇ
100531801,1124028B1046,コントール散1％
100531802,1124028B1054,コンスーン散1%
100532503,1124028B2050,バランス散10％
100532501,1124028B2069,コントール散10％
100533203,1124028F1021,コンスーン錠5
100533201,1124028F1030,5mgコントール錠
100533202,1124028F1048,バランス錠5mg
100534904,1124028F2028,コンスーン錠10
100534901,1124028F2036,10mgコントール錠
100534903,1124028F2079,バランス錠10mg
100535601,1124029C1038,メイラックス細粒１％
100536301,1124029F1026,メイラックス錠１mg
100537001,1124029F1034,アズトレム錠１mg
112102501,1124029F1042,スカルナーゼ錠1mg
100538701,1124029F1050,メデタックス錠１
100539403,1124029F1069,ロンラックス錠1mg
100541701,1124029F1085,ジメトックス錠1
100545501,1124029F2022,メイラックス錠２mg
100546201,1124029F2030,アズトレム錠２mg
100547901,1124029F2049,メデタックス錠２
100548603,1124029F2057,ロンラックス錠2mg
117962001,1124029F2073,ジメトックス錠2
119448701,1124029F2081,※スカルナーゼ錠2mg
100550901,1124030F1029,ドラール錠15
117950701,1124030F1037,クアゼパム錠15mg「ＭＮＰ」
117952101,1124030F1045,クアゼパム錠15mg「ＹＤ」
117866101,1124030F1053,クアゼパム錠15mg「アメル」
117951401,1124030F1061,クアゼパム錠15mg「トーワ」
117891301,1124030F1070,クアゼパム錠15mg「日医工」
118637601,1124030F1088,クアゼパム錠15mg「サワイ」
100551601,1124030F2025,ドラール錠20
117953801,1124030F2033,クアゼパム錠20mg「ＭＮＰ」
117955201,1124030F2041,クアゼパム錠20mg「ＹＤ」
117954501,1124030F2050,クアゼパム錠20mg「トーワ」
118481501,1124030F2068,クアゼパム錠20mg「アメル」
118638301,1124030F2076,クアゼパム錠20mg「サワイ」
118450101,1124030F2084,クアゼパム錠20mg「日医工」
100553002,1124400A1040,ロヒプノール静注用2mg￥ｎ
100552301,1124400A1058,サイレース静注２mg￥ｎ
100554701,1124401A1052,ドルミカム注射液10mg
115547101,1124401A1060,ミダゾラム注10mg「サンド」
118371901,1124401A1079,ミダゾラム注射液10mg「タイヨー」
100555401,1124402A1030,セルシン注射液5mg
100558501,1124402A2045,ホリゾン注射液10mg
100557801,1124402A2053,セルシン注射液10mg
100556102,1124402A2061,ジアゼパム注射液10mg「タイヨー」
100559203,1124700J1036,セニラン坐剤3mg
100560801,1124701J1022,ダイアップ坐剤４
100561501,1124701J2029,ダイアップ坐剤６
100562201,1124701J3025,ダイアップ坐剤１０
100563901,1125001X1033,*イソミタール原末
100564604,1125002X1070,バルビタール「ホエイ」
100565302,1125003B2031,フェノバール散10％
100565304,1125003B2074,フェノバルビタール散10％「ヒシヤマ」
100565306,1125003B2120,フェノバルビタール散10％「ホエイ」
100565307,1125003B2139,フェノバルビタール散１０％「マルイシ」
100565313,1125003B2155,￥ｎフェノバルビタール散10％「JG」
100565303,1125003B2163,*フェノバルビタール散１０％「シオエ」
100566004,1125003X1059,フェノバルビタールシオエ
100566005,1125003X1091,フェノバルビタール「ホエイ」
100566003,1125003X1156,フェノバール原末
100567701,1125004F1023,フェノバール錠30mg
100569101,1125004S1030,フェノバールエリキシル0.4％
100570701,1125006F1030,*ラボナ錠50mg
117576901,1125401D2028,注射用アイオナール・ナトリウム（0.2）〔バイアル品〕
100575202,1125402A1046,１０％フェノバルビタール注「ノーベル」
100574501,1125402A1054,フェノバール注射液100mg
100576901,1125700J1025,ワコビタール坐剤１５
100577601,1125700J2021,ルピアール坐剤25
100578301,1125700J3028,ワコビタール坐剤３０
100579001,1125700J4024,ルピアール坐剤50
100580601,1125700J4032,ワコビタール坐剤５０
100581301,1125700J5020,ルピアール坐剤100
100582001,1125700J5039,ワコビタール坐剤１００
100583705,1126001X1065,臭化カリウム「ヤマゼン」
100584403,1126002X1051,臭化ナトリウム「ヤマゼン」
100585101,1126400A1044,*ブロカル静注２％
100587503,1129004Q1031,*トリクロリールシロップ１０％
100589901,1129006F1021,リスミー錠1mg
116299801,1129006F1030,塩酸リルマザホン錠１「ＭＥＥＫ」
100590501,1129006F2028,リスミー錠2mg
116300101,1129006F2036,塩酸リルマザホン錠２「ＭＥＥＫ」
100591203,1129007F1026,アモバン錠7.5￥ｎ
100592902,1129007F1034,アモバンテス錠7.5
100593601,1129007F1042,ゾピクール錠7.5
100594301,1129007F1069,スローハイム錠7.5
100595002,1129007F1077,ドパリール錠７．５
112105601,1129007F1085,メトローム錠7.5
112104901,1129007F1107,※※ゾピクロン錠10mg「トーワ」
100597403,1129007F2022,アモバン錠10￥ｎ
100598101,1129007F2030,ゾピクール錠10
100599801,1129007F2049,スローハイム錠10
100600102,1129007F2057,ドパリール錠１０
112106301,1129007F2065,*メトローム錠10
120120801,1129007F2081,*アモバンテス錠10
100601802,1129008F1039,セディール錠5mg
118482201,1129008F1047,タンドスピロンクエン酸塩錠5mg「アメル」
118648201,1129008F1055,タンドスピロンクエン酸塩錠５mg「サワイ」
118649901,1129008F1063,タンドスピロンクエン酸塩錠5mg「トーワ」
118458701,1129008F1071,タンドスピロンクエン酸塩錠5mg「日医工」
100602502,1129008F2035,セディール錠10mg
118006001,1129008F2043,タンドスピロンクエン酸塩錠10mg「トーワ」
118483901,1129008F2051,タンドスピロンクエン酸塩錠10mg「アメル」
118650501,1129008F2060,タンドスピロンクエン酸塩錠10mg「サワイ」
118459401,1129008F2078,タンドスピロンクエン酸塩錠10mg「日医工」
117439701,1129008F3023,セディール錠20mg
119067001,1129008F3031,※タンドスピロンクエン酸塩錠20mg「トーワ」
119486901,1129008F3040,*タンドスピロンクエン酸塩錠20mg「アメル」
119628301,1129008F3058,*タンドスピロンクエン酸塩錠20mg「サワイ」
119629001,1129008F3066,*タンドスピロンクエン酸塩錠20mg「日医工」
113616602,1129009F1025,マイスリー錠5mg
113617302,1129009F2021,マイスリー錠10mg
116201101,1129400A1038,プレセデックス静注液２００μｇ「マルイシ」
117113601,1129400A1046,プレセデックス静注液２００μｇ「ホスピーラ」
100603201,1131001A1038,クランポール末
100604901,1131001F1035,*クランポール錠200mg
100605601,1132001A1035,アクセノン末
100607002,1132002B1060,アレビアチン散10％
100607001,1132002B1078,ヒダントール散10％
100607005,1132002B1086,フェニトイン散10％「協和医療」
100609401,1132002F1029,ヒダントール錠25mg
100609402,1132002F1037,アレビアチン錠25mg
100610001,1132002F2033,ヒダントール錠100mg
100610002,1132002F2041,アレビアチン錠100mg
100612401,1132400A1033,アレビアチン注250mg
100614801,1133002B1032,ミノアレ散66.7％
116392603,1135002C1059,プリミドン細粒99.5％「日医工」（承継前販売名：プリミドン細粒99.5％大日本）
116393303,1135002F1055,プリミドン錠250mg「日医工」（承継前販売名：プリミドン錠250mg大日本）
113901301,1137001F1039,オスポロット錠５０ｍｇ
113902001,1137001F2035,オスポロット錠２００ｍｇ
100622301,1139001B1031,エピレオプチマル散50％￥ｎ
100624701,1139001Q1042,ザロンチンシロップ５％
100627801,1139002C1058,レキシン50％細粒
113903701,1139002C1066,カルバマゼピン細粒50％「アメル」
100626101,1139002C1074,テレスミン細粒50％
100625402,1139002C1082,テグレトール細粒50％
100630802,1139002F1062,テグレトール錠200mg
113904401,1139002F1070,カルバマゼピン錠200mg「アメル」
100628501,1139002F1089,テレスミン錠200mg
100629201,1139002F1097,レキシン錠200mg
100631502,1139002F2026,テグレトール錠100mg
100632201,1139002F2034,レキシン錠100mg
113905101,1139002F2042,カルバマゼピン錠100mg「アメル」
100634602,1139003C1044,リボトリール細粒0.1%￥ｎ
100633902,1139003C1052,ランドセン細粒0.1％
100636002,1139003C2040,リボトリール細粒0.5%￥ｎ
100635302,1139003C2059,ランドセン細粒0.5％
100638402,1139003F1040,リボトリール錠0.5mg￥ｎ
100637702,1139003F1059,ランドセン錠0.5mg
100640702,1139003F2047,リボトリール錠1mg￥ｎ
100639102,1139003F2055,ランドセン錠1mg
100642102,1139003F3043,リボトリール錠2mg￥ｎ
100641402,1139003F3051,ランドセン錠2mg
100645201,1139004C1049,バルプロ酸ナトリウム細粒２０％「ＥＭＥＣ」
100643801,1139004C1057,デパケン細粒20%
100644503,1139004C1065,ハイセレニン細粒２０％
100647603,1139004C2053,ハイセレニン細粒４０％
100646901,1139004C2061,デパケン細粒40%
113907501,1139004D1044,エピレナート徐放顆粒40％
100649002,1139004D1052,セレニカR顆粒40％
113906801,1139004D1060,バルプラム徐放顆粒４０％
100650601,1139004F1029,デパケン錠100
100652001,1139004F1045,バレリン錠100mg
100651303,1139004F1053,ハイセレニン錠１００ｍｇ
120301101,1139004F1061,エピレナート錠100mg
100659901,1139004F2106,バレリン錠200mg
100657501,1139004F2114,デパケン錠200
100654401,1139004F2130,エピレナート錠200mg
100655101,1139004F2149,サノテン錠200ｍｇ
100658203,1139004F2157,ハイセレニン錠２００ｍｇ
100656801,1139004F2165,バルプロ酸ナトリウム錠200mg「アメル」
100661201,1139004G1024,デパケンR錠100
120123901,1139004G1032,※※バルデケンR錠100mg
100662901,1139004G2020,デパケンR錠200
116356802,1139004G2039,セレニカR錠200mg
117482301,1139004G2047,バルデケンR錠200mg
117357401,1139004G2055,バルプロ酸ナトリウムSR錠200mg「アメル」
117446502,1139004G3027,セレニカR錠400mg
100663601,1139004Q1070,エピレナートシロップ５％
100666701,1139004Q1089,バレリンシロップ5％
112107003,1139004Q1097,セレブシロップ５％
100664301,1139004Q1100,デパケンシロップ5%
113908201,1139005B1030,エクセミド散20％
100667401,1139005B1048,エクセグラン散20％
100668101,1139005F1023,エクセグラン錠100mg
113909901,1139005F1031,エクセミド錠100mg
112108701,1139006C1030,マイスタン細粒1％
112109401,1139006F1028,マイスタン錠5mg
112110001,1139006F2024,マイスタン錠10mg
117666701,1139007F1022,ガバペン錠200mg
117667401,1139007F2029,ガバペン錠300mg
117668101,1139007F3025,ガバペン錠400mg
118191301,1139008F1027,トピナ錠50mg
118192001,1139008F2023,トピナ錠100mg
120139001,1139008F3020,トピナ錠25mg
118864601,1139009F1021,ラミクタール錠小児用2mg
118865301,1139009F2028,ラミクタール錠小児用5mg
118862201,1139009F3024,ラミクタール錠25mg
118863901,1139009F4020,ラミクタール錠100mg
119974101,1139010F1024,イーケプラ錠250mg
119975801,1139010F2020,イーケプラ錠500mg
100669801,1139100F1037,*複合アレビアチン配合錠
100670401,1139103X1036,ヒダントールＤ配合錠
100671101,1139104X1030,ヒダントールＥ配合錠
100672801,1139105X1035,ヒダントールＦ配合錠
118932201,1139400F1023,ノーベルバール静注用250mg
100673502,1141001X1029,アセトアミノフェン＜ハチ＞
100673507,1141001X1045,アセトアミノフェン「ヨシダ」
100673503,1141001X1053,ナパ
100673501,1141001X1070,ピレチノール
100673505,1141001X1088,ピリナジン末
100673504,1141001X1096,アセトアミノフェン原末「マルイシ」
100673511,1141001X1100,カロナール原末
100679702,1141004F1086,オパイリン錠125mg
100682702,1141004F2058,オパイリン錠250mg
100685801,1141005B1062,ポンタール散５０％
100687201,1141005C2030,ポンタール細粒９８．５％
100689601,1141005F1048,ポンタール錠２５０ｍｇ
100692601,1141005M1020,ポンタールカプセル１２５ｍｇ
100697101,1141005M2078,バファメリチンＭ「カプセル」250
100698801,1141005M2094,ポンタールカプセル２５０ｍｇ
100699501,1141005M2213,マイカサールカプセル250mg
100696401,1141005M2221,*ノイリトールカプセル２５０ｍｇ
100700801,1141005M2230,**メフェナム酸カプセル２５０ｍｇ「昭和」
100706001,1141005Q1081,ポンタールシロップ３．２５％
100708402,1141005Q1103,*ワンメデーシロップ3.25％
100711401,1141007C1075,カロナール細粒２０％
115265401,1141007C1083,サールツー細粒20％
116767201,1141007C1091,アセトアミノフェン細粒20％「NP」
115272201,1141007C1105,アセトアミノフェン細粒20％（TYK）
116768901,1141007C1113,アセトアミノフェン細粒20％「タツミ」
116720701,1141007C1121,カルジール細粒20％
100712103,1141007C1130,アニルーメ細粒20％
115227201,1141007C2020,カロナール細粒５０％
115226501,1141007F1039,カルジール錠200
115208102,1141007F1047,アニルーメ錠200mg
116285101,1141007F1055,アセトアミノフェン錠200mg（TYK）
100713801,1141007F1063,カロナール錠２００
116341401,1141007F1071,コカール錠200mg
116771901,1141007F1080,アセトアミノフェン錠200mg「NP」
116769601,1141007F1110,アセトアミノフェン錠200「タツミ」
116774001,1141007F1136,アトミフェン錠200
116831001,1141007F1144,サールツー錠200mg
115228901,1141007F2027,カロナール錠３００
116775702,1141007F2035,アニルーメ錠300mg
115225801,1141007Q1030,カルジール小児用シロップ２％
112112401,1141007Q1048,カロナールシロップ２％
117958301,1141007Q1056,サールツーシロップ小児用2％
115207401,1141007R1027,アトミフェンドライシロップ20％
116372801,1141007R1035,ナパドライシロップ20%
117957601,1141007R1043,コカール小児用ドライシロップ20％
117959001,1141007R1051,サールツードライシロップ小児用20％
116342101,1141007R2023,コカールドライシロップ40％
100714501,1141700J1029,アルピニー坐剤50(50mg)
119537801,1141700J1053,*アセトアミノフェン坐剤小児用50mg「TYK」
119558301,1141700J1061,アニルーメ坐剤小児用50mg
119382401,1141700J1070,**アフロギス坐剤50
119683201,1141700J1088,カロナール坐剤小児用５０
100719001,1141700J2050,カロナール坐剤１００
100720601,1141700J2076,アフロギス坐剤100
113910501,1141700J2084,パラセタ坐剤１００
100717601,1141700J2092,アルピニー坐剤100
100716901,1141700J2157,**アニルーメ坐剤小児用100mg
115569301,1141700J2165,アセトアミノフェン坐剤小児用100mg「TYK」
100721301,1141700J3021,アルピニー坐剤200(200mg)
100723701,1141700J3048,カロナール坐剤２００
100724403,1141700J3056,アニルーメＳ坐剤200
100725101,1141700J3064,アフロギス坐剤200
113911201,1141700J3072,パラセタ坐剤２００
115570901,1141700J3137,アセトアミノフェン坐剤小児用200mg「TYK」
100727511,1143001X1040,アスピリン「ケンエー」
100727505,1143001X1066,アスピリンシオエ
100727527,1143001X1074,「純生」アスピリン
100727517,1143001X1104,アスピリン「メタル」
100727507,1143001X1112,アスピリン「ホエイ」
100727506,1143001X1171,アスピリン「ヒシヤマ」
100727512,1143001X1201,アスピリン「ヨシダ」
100727531,1143001X1210,アスピリン.OY
100727528,1143001X1228,アスピリン「バイエル」
100727508,1143001X1236,アスピリン原末「マルイシ」
100729901,1143005X1021,エテンザミド「イワキ」
100729902,1143005X1048,エテンザミド「ヨシダ」
100731201,1143007X1020,サリチルアミド「イワキ」
,1143010F2058,＊＊イスキア配合錠A330
113913601,1143010F2066,**バッサミン配合錠Ａ330
113620303,1143010F2074,バファリン配合錠A330
100740401,1143400A1037,**サルソニン静注0.25g
116243101,1143400A2084,ジノリン注射液５％
100745901,1143400A2092,ハフトロン静注0.5g
100742801,1143400A2106,**サルソニン静注0.5g
100743502,1143400A2114,ザルソロン静注500mg（ポリエチレン容器）
100744201,1143400A2122,*ネオザルベリン静注0.5g
100746601,1143400A2130,**ヘパルス静注０．５ｇ
100753401,1143700J5029,サリチゾン坐薬７５０
100754101,1144002X1025,ヨシピリン
100757203,1144005X1045,スルピリン「イワキ」
100757213,1144005X1061,スルピリン「ケンエー」
100757221,1144005X1070,スルピリン「三恵」
100757224,1144005X1096,「純生」スルピリン
100757201,1144005X1118,スルピリン
100757209,1144005X1142,スルピリン「ホエイ」
100757216,1144005X1193,スルピリン
100757208,1144005X1207,スルピリン「ヒシヤマ」
100757218,1144005X1240,スルピリン「ヤクハン」
100757214,1144005X1274,スルピリン水和物「ヨシダ」
100757210,1144005X1282,スルピリン水和物原末「マルイシ」
100757207,1144005X1290,**スルピリン水和物「シオエ」原末
100758910,1144007X1044,ミグレニン
100758904,1144007X1060,ミグレニンシオエ
100758916,1144007X1095,ミグレニン「メタル」
100758906,1144007X1109,ミグレニン「ホエイ」
100758907,1144007X1117,ミグレニン「マルイシ」
100758905,1144007X1168,ミグレニン「ヒシヤマ」
100761912,1144400A2057,25％スルピリン注「ニッシン」
100761907,1144400A2073,スルピリン注「ヒシヤマ」25％
100761901,1144400A2103,スルピリン注２５％「イセイ」
100761906,1144400A2111,スルピリン注射液250mg「トーワ」
100761904,1144400A2138,メチロン注２５％
100761911,1144400A2154,ボスピリン注射液250mg
100761908,1144400A2170,*スペロン注250mg
100761905,1144400A2189,スルピリン注250mg「ミタ」
100762605,1144400A3100,スルピリン注射液500mg「トーワ」
100762603,1144400A3126,メチロン注２５％
100762609,1144400A3142,ボスピリン注射液500mg
100762606,1144400A3169,*スペロン注500mg
100762604,1144400A3177,スルピリン注500mg「ミタ」
100763302,1144400A4025,50％スルピリン注「ニッシン」
