Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
[ActIngreName]（[ActIngreOtherName]）培養物の乾燥[Form]を[Number][Unit]中に[Number][Unit]（[Number][Unit]の生菌）含有する,25,3,1,3,Cluster  3
[ActIngreName]（[Formula]）の[Form]である,19,10,1,3,Cluster  3
[ActIngreName]（[Number][Unit]中）<BR>[Number][Unit],3,5,1,3,Cluster  3
[ActIngreName]（軽質）の原薬である,19,10,1,3,Cluster  3
[ActIngreName]（重質）の原薬である,19,10,1,3,Cluster  3
[BrandName]<BR>[ActIngreName]の[Form]で[Color]の結晶又は結晶性の[Form]である,19,10,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]中[ActIngreName][ActIngreName][Number][Unit]を含有する,95,9,3,3,Cluster  3
[BrandName]<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName]を[ActIngreName]として[Number][Unit]含有する,95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有する,95,9,277,3,Cluster  3
[BrandName]<BR>[Number][Unit]中[ActIngreName][Number][Unit]を含有する[DrugParts]：[Number][Unit][DrugParts]：[Number][Unit],95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,95,9,26,3,Cluster  3
[BrandName]<BR>[Number][Unit]中[ActIngreName]として[Number][Unit]（[ActIngreName][Number][Unit]）を含有する,95,9,5,3,Cluster  3
[BrandName]<BR>[Number][Unit]中[ActIngreName]を[ActIngreName]として[Number][Unit]含有する,95,9,2,3,Cluster  3
[BrandName]<BR>[Number][Unit]中[ActIngreName]（乾燥物として）[Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]中に[ActIngreName][ActIngreName][Number][Unit]を含有,95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,95,9,12,3,Cluster  3
[BrandName]<BR>[Number][Unit]中に[ActIngreName][Number][Unit]（[Formula]＋＋（[ActIngreName]）として[Number][Unit]）を含有する,95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]中に[ActIngreName]として[Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]中に[ActIngreName]を[Number][Unit]含有する,95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]中に[ActIngreName]を[Number][Unit]含有する[Color]の[Form]である,59,8,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]（[DrugParts][Number][Unit]）中[ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]を含有する,95,9,21,3,Cluster  3
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,95,9,3,3,Cluster  3
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]（[Number][Unit]中[Number][Unit]）を含有する,95,9,2,3,Cluster  3
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number]＄を含有する,29,7,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName]として[Number][Unit]に相当する[ActIngreName]を含有する,95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName]として[Number][Unit]（[ActIngreName][Number][Unit]）を含有する,95,9,2,3,Cluster  3
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName]を[ActIngreName]として[Number][Unit]含有する,95,9,2,3,Cluster  3
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]（[Number][Unit]）を含有する,95,9,1,3,Cluster  3
[BrandName]<BR>[Number][Unit]（[Number][Unit]）中に[ActIngreName]（ブタ小腸粘膜由来）を[Number][Unit]（抗第Ｘａ因子活性）含有する（[Number][Unit]あたり[Number][Unit]）,63,2,1,3,Cluster  3
[BrandName][Number][Unit]中に[ActIngreName][Number][Unit]含有する,95,9,2,3,Cluster  3
[BrandName]は[ActIngreName][Form]で[Number][Unit]中[ActIngreName][Number][Unit]を含有する,59,8,2,3,Cluster  3
[BrandName]は[ActIngreName][Number][Unit]を含む[Color]の[Form]である<<BR>>〔電解質濃度〕（理論値）<BR>[Formula]＋[Number][Unit][Formula][Number][Unit],7,11,1,3,Cluster  3
[BrandName]は[ActIngreName]である,19,10,1,3,Cluster  3
[BrandName]は[ActIngreName]の[Form]で[Color]の[Form]である,19,10,2,3,Cluster  3
[BrandName]は[ActIngreName]の[Form]である,19,10,2,3,Cluster  3
[BrandName]は[ActIngreName]を[Number][Unit]中に[Number][Unit]（[Number][Unit]（[Number][Unit]）中に[Number][Unit]）含有するなお[Number][Unit]中には[ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[ActIngreName]（[Form]）である,19,10,1,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName][Number][Unit],61,6,1,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName][Number][Unit]を含有する,95,9,20,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName][Number][Unit]を含有する<<BR>>＜電解質濃度＞[Formula]＋：[Number][Unit][Formula]：[Number][Unit],7,11,1,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName][Number][Unit]を含有する製剤である,95,9,4,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,95,9,2,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName][Number][Unit]（[ElectIon]：[Number][Unit]）を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName][Number]＄を含有する,29,7,3,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（ブタの小腸由来）[Number][Unit]（抗第Ｘａ因子活性）を含有する,63,2,1,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（ブタの腸粘膜由来）[Number][Unit]を含有する,63,2,1,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit][ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit][Number][Unit][Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit]を含有するまた,95,9,12,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit]を含有する,95,9,5,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（別名[ActIngreOtherName]）[Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（別名塩酸[ActIngreName]）[Number][Unit][ActIngreName][Number][Unit]及びｐＨ調整剤を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（別名塩酸[ActIngreName]）[Number][Unit]を含有する,95,9,2,3,Cluster  3
[BrandName]は[Number][Unit][Number][Unit]中に[ActIngreName]（別名塩酸[ActIngreName]）[Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]に[ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit],61,6,2,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含む[Form]である,59,8,1,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]および[ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]を[ActIngreName]として含有する,95,9,2,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]を含む[Form]である,59,8,20,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]を含有する,95,9,12,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]を含有する<<BR>>なお,95,9,4,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]を含有する製剤である,95,9,16,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]及び[ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]に相当）を含有するなお,95,9,2,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含む[Color]の[Form]である,26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する<<BR>>なお,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有するなお,95,9,2,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）及び[ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName][Number][Unit]［[Number][Unit]中[ActIngreName]菌（[ActIngreOtherName]）の生菌を[Number][Unit]を含む］を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName]を[Number][Unit]含有する製剤で[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]を含有する,95,9,2,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName]及びＢの[ActIngreName][Number][Unit]を含む[Form]である,59,8,1,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName]（[ActIngreName]）[Number][Unit]を含む[Form]である,59,8,2,3,Cluster  3
[BrandName]は[Number][Unit]中[ActIngreName]（別名[ActIngreName]）[Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,95,9,2,3,Cluster  3
[BrandName]は[Number][Unit]中に<BR>[ActIngreName]…[Number][Unit]（[ActIngreName]として[Number][Unit]含有）[ActIngreName]…[Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][ActIngreName][Number][Unit]を含有する,95,9,6,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit],61,6,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する製剤である,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含有する,95,9,3,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する,95,9,276,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する<<BR>>なお,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Color]の[Form]である,59,8,2,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Color]の徐放性[Form]である,59,8,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Color]の徐放製剤である,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Form][Form]である,59,8,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する[Form]である,59,8,4,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]を含有する製剤である,95,9,30,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]及び[ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName][Number][Unit]）を含有する製剤である,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）[ActIngreName][Number][Unit]を含有する,95,9,2,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,95,9,21,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有するうすい[Color]の[Form]である,59,8,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する製剤である,95,9,2,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する．,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName][Number][Unit]（[Number][Unit]）を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]を[ActIngreName]として[Number][Unit]含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]を[ActIngreName]として[Number][Unit]（[ElectIon]：[Number][Unit]）含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]を[Number][Unit]含有する,95,9,14,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]を[Number][Unit]含有する（[ActIngreName]として[Number][Unit]）,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]を[Number][Unit]（[ActIngreName]として[Number][Unit]）含有する,95,9,2,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]（[ActIngreOtherName]）[Number][Unit]（生菌数[Number]億）を含有する,29,7,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit][ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit]を含有する,95,9,24,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit]（[ActIngreName]として[Number][Unit]）[ActIngreName][Number][Unit]及び[ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]（別名[ActIngreName]）[Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,95,9,4,3,Cluster  3
[BrandName]は[Number][Unit]中に[ActIngreName]（別名[ActIngreOtherName]）[Number][Unit]を含有する,95,9,6,3,Cluster  3
[BrandName]は[Number][Unit]中健康な食用獣（ブタ）の腸粘膜から得た[ActIngreName][Number][Unit]を含む[Color]の[Form]である,63,2,3,3,Cluster  3
[BrandName]は[Number][Unit]中次の成分分量を含む[Form]である[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[CaseName]）[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName][Number][Unit]を含む[Color]の[Form]である,26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[CaseName]）[Number][Unit]中[ActIngreName][Number][Unit]を含む[Color]の[Form]である,26,12,6,3,Cluster  3
[BrandName]は[Number][Unit]（[CaseName]）[Number][Unit]中健康な食用獣（ブタ）の腸粘膜から得た[ActIngreName][Number][Unit]を含む[Color]の[Form]である,63,2,2,3,Cluster  3
[BrandName]は[Number][Unit]（[CaseName]）[Number][Unit]中次の成分分量を含む[Color]の[Form]である[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[CaseName]）[Number][Unit]中次の成分分量を含む[Color]の[Form]である[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[CaseName]）[Number][Unit]中次の成分分量を含む[Color]の[Form]である[ActIngreName]（[ActIngreName]として）[Number][Unit][ActIngreName]（[ActIngreName]として）[Number][Unit][ActIngreName][Number][Unit],26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[CaseName]）中[ActIngreName][Number][Unit]を含む[Color]の[Form]である<<BR>>〔電解質濃度〕（理論値）<BR>[Formula]＋[Number][Unit][ElectIon][Number][Unit],7,11,1,3,Cluster  3
[BrandName]は[Number][Unit]（[CaseName]）中[ActIngreName][Number][Unit]を含む[Color]の[Form]である<<BR>>〔電解質濃度〕（理論値）<BR>[Formula]＋[Number][Unit][Formula][Number][Unit],7,11,2,3,Cluster  3
[BrandName]は[Number][Unit]（[CaseName]）中[ActIngreName]（注射用蒸留水）[Number][Unit]を含む[Color]の[Form]である,26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[DrugParts][Number][Unit]）中に[ActIngreName][Number][Unit]を含有する[Form]である,59,8,1,3,Cluster  3
[BrandName]は[Number][Unit]（[DrugParts][Number][Unit]）中に[ActIngreName][Number][Unit]を含有する製剤である,95,9,4,3,Cluster  3
[BrandName]は[Number][Unit]（[DrugParts][Number][Unit]）中に[ActIngreName][Number][Unit]（[Number][Unit]）を含有する[Form]である,59,8,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit][DrugParts][Number][Unit]）中[ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]×[Number][Unit][DrugParts][Number][Unit]）中に[ActIngreName][Number][Unit]を含有する[Form]である,59,8,2,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]×[Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit],61,6,2,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]を含有する,95,9,20,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]を含有する<<BR>>熱量<BR>[Number][Unit][Number][Unit],95,9,2,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]を含有する[Color]の[Form]である,59,8,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]を含有する製剤である,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]）中に[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含有する,95,9,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]）中に[ActIngreName]を[Number]＄含有する,29,7,3,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]）中健康なブタ腸粘膜由来のヘパリンを化学的に分解し分離精製して得た[ActIngreName][Number][Unit]（抗第Ｘａ因子活性）を含む[Color]の[Form]である,63,2,3,3,Cluster  3
[BrandName]は[Number][Unit]（[Number][Unit]）中健康な食用獣（ブタ）の腸粘膜から得た[ActIngreName][Number][Unit]を含む[Color]の[Form]である,63,2,4,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中[ActIngreName][Number][Unit]を含む[Color]の[Form]である,26,12,22,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中[ActIngreName][Number][Unit]を含む[Color]の無痛性の[Form]である,26,12,7,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中[ActIngreName][Number][Unit]を含む[Color]無痛性の[Form]である,26,12,4,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中[ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）を含む[Color]の無痛性の[Form]である,26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中[ActIngreName][Number][Unit]（[Number][Unit]）を含む[Color]の[Form]である,26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中[ActIngreName]を[ActIngreName]として[Number][Unit]含む[Color]の無痛性の[Form]である,26,12,3,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中[ActIngreName]を[ActIngreName]として[Number][Unit]（[Number][Unit]）含む[Color]の[Form]である,26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中[ActIngreName]（[ActIngreName]）[Number][Unit]を含む[Color]の無痛性の[Form]である,26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中[ActIngreName]（ｌ体として）[Number][Unit]を含む[Color]の無痛性の[Form]である,26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）[Number][Unit]中次の成分を含む[Color]の[Form]である[ActIngreName][Number][Unit][ActIngreName][Number][Unit]（[ActIngreName]として[Number][Unit]）[ActIngreName][Number][Unit],26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中[ActIngreName][Number][Unit]を含む[Color]の[Form]である,26,12,7,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中[ActIngreName][Number][Unit]を含む[Color]の[Form]である<<BR>>〔電解質濃度〕（理論値）<BR>[Formula]＋[Number][Unit][ElectIon][Number][Unit],7,11,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中[ActIngreName][Number][Unit]を含む[Color]の[Form]である<<BR>>〔電解質濃度〕（理論値）<BR>[Formula]＋[Number][Unit][Formula][Number][Unit],7,11,6,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中[ActIngreName][Number][Unit]を含む[Color]の[Form]である<<BR>>［電解質濃度］（理論値）<BR>[Formula]＋[Number][Unit][Formula][Number][Unit],7,11,4,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中[ActIngreName]（注射用蒸留水）[Number][Unit]を含む[Color]の[Form]である,26,12,4,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中次の成分分量を含む[Color]の[Form]である<<BR>>[ActIngreName]<BR>[Number][Unit]<<BR>>[ActIngreName]<BR>[Number][Unit],26,12,2,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中次の成分分量を含む[Color]の[Form]である<<BR>>[ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit],26,12,3,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中次の成分分量を含む[Color]の[Form]である<<BR>>[Number][Unit]<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit],26,12,1,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中次の成分分量を含む[Color]の[Form]である[ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit],26,12,5,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中次の成分分量を含む[Color]の[Form]である[ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[ActIngreName][Number]Ｈ[Number]Ｏ）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit],26,12,8,3,Cluster  3
[BrandName]は[Number][Unit]（[Unit]）中次の成分分量を含む[Color]の[Form]である[ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit][ActIngreName]（[Formula]）[Number][Unit],26,12,5,3,Cluster  3
