HOT9,YJコード,組成の記述
100322204,1119702G1062,<BR>本品１ｍＬ中セボフルラン１ｍＬ含有．￥ｎ（本剤は化学的に安定なため，安定剤は添加されていない．）
100323916,1121001X1042,1g中：<BR>日本薬局方ブロモバレリル尿素1g含有。
100323917,1121001X1050,<BR>*ブロモバレリル尿素の原薬である。
100323914,1121001X1085,<BR>本品1g中に日本薬局方ブロモバレリル尿素1gを含む。
100323904,1121001X1107,成分・含量（１g中）<BR>日本薬局方ブロモバレリル尿素１g含有
100323908,1121001X1166,*1g中日本薬局方ブロモバレリル尿素1g含有。
100323903,1121001X1174,*有効成分（１ｇ中）<BR>日本薬局方ブロモバレリル尿素１ｇ
100323902,1121001X1204,組成<BR>本剤は1g中、日本薬局方ブロモバレリル尿素1gを含有する。
100323909,1121001X1212,<BR>本剤1g中、日局ブロモバレリル尿素1gを含む。
118813401,1121001X1220,成分・含量（１ｇ中）<BR>ブロモバレリル尿素１ｇ
100323905,1121001X1239,<BR>本品１ｇ中日局ブロモバレリル尿素１ｇ含有。
100324601,1123001X1020,成分・含量（1g中）<BR>日本薬局方抱水クロラール1g含有
100325303,1123700J1020,有効成分<BR>抱水クロラール<<BR>>含量（1個中）<BR>250mg<<BR>>添加物<BR>グリセリン、香料（エチルバニリン）、ゼラチン、D-ソルビトール、パラオキシ安息香酸プロピル、パラオキシ安息香酸メチル、マクロゴール400
100326003,1123700J2027,有効成分<BR>抱水クロラール<<BR>>含量（1個中）<BR>500mg<<BR>>添加物<BR>グリセリン、香料（エチルバニリン）、ゼラチン、D-ソルビトール、パラオキシ安息香酸プロピル、パラオキシ安息香酸メチル、マクロゴール400
116705401,1123700X1023,有効成分<BR>抱水クロラール<<BR>>含量（1キット・1340mg中）<BR>500mg<<BR>>添加物<BR>グリセリン、マクロゴール400
100327701,1124001B1039,1g中の有効成分<BR>エスタゾラム10mg<<BR>>添加物<BR>アルファー化デンプン、軽質無水ケイ酸、乳糖水和物
100328401,1124001F1022,1錠中の有効成分<BR>エスタゾラム1mg<<BR>>添加物<BR>トウモロコシデンプン、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム、乳糖水和物
113895501,1124001F1030,有効成分<BR>1錠中、日局エスタゾラム1.0mg<<BR>>添加物<BR>乳糖、トウモロコシデンプン、タルク、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム
100329101,1124001F2029,1錠中の有効成分<BR>エスタゾラム2mg<<BR>>添加物<BR>トウモロコシデンプン、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム、乳糖水和物
113896201,1124001F2037,有効成分<BR>1錠中、日局エスタゾラム2.0mg<<BR>>添加物<BR>乳糖、トウモロコシデンプン、タルク、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム
100331401,1124002M1042,有効成分<BR>1カプセル中日局フルラゼパム塩酸塩10mg<<BR>>添加物<BR>日局ステアリン酸マグネシウム、日局D-マンニトール￥ｎカプセル本体に青色1号、日局ラウリル硫酸ナトリウム、日局酸化チタン、日局ゼラチン含有
100332102,1124002M2022,有効成分<BR>1カプセル中、日局フルラゼパム塩酸塩15mg<<BR>>添加物<BR>D-マンニトール、ステアリン酸マグネシウム、酸化チタン、青色1号、赤色3号、ゼラチン、ラウリル硫酸ナトリウム
100334501,1124002M2049,有効成分<BR>1カプセル中日局フルラゼパム塩酸塩15mg<<BR>>添加物<BR>日局ステアリン酸マグネシウム、日局D-マンニトール￥ｎカプセル本体に青色1号、日局ラウリル硫酸ナトリウム、日局酸化チタン、日局ゼラチン含有
100335201,1124003B1070,散1g中に次の成分を含有<<BR>>有効成分<BR>ニトラゼパム(日局)10mg<<BR>>添加物<BR>バレイショデンプン、トウモロコシデンプン、乳糖水和物
100339001,1124003C1092,成分・含量：<BR>1g中￥ｎニトラゼパム10mg￥ｎ<<BR>>添加物：<BR>白糖，トウモロコシデンプン，メチルセルロース￥ｎ
100338301,1124003C1106,有効成分の名称<BR>ニトラゼパム<<BR>>含量<BR>1ｇ中ニトラゼパム10ｍｇ<<BR>>添加物<BR>乳糖水和物、トウモロコシデンプン、ヒドロキシプロピルセルロース
100340601,1124003F1021,成分・含量：<BR>1錠中￥ｎニトラゼパム2mg￥ｎ<<BR>>添加物：<BR>白糖，トウモロコシデンプン，メチルセルロース，ヒドロキシプロピルセルロース，グリセリン脂肪酸エステル，タルク，ステアリン酸マグネシウム，黄色5号￥ｎ
100342001,1124003F2044,組成<BR>チスボン錠5は１錠中ニトラゼパム5mgおよび添加物として乳糖水和物、結晶セルロース、カルメロースカルシウム、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム、軽質無水ケイ酸を含有する。
100346801,1124003F2176,有効成分の名称<BR>ニトラゼパム<<BR>>含量<BR>1錠中ニトラゼパム5ｍｇ<<BR>>添加物<BR>乳糖水和物、トウモロコシデンプン、低置換度ヒドロキシプロピルセルロース、二酸化ケイ素、ステアリン酸Ｍｇ
100347502,1124003F2184,1錠中：ニトラゼパム……………………5mg￥ｎ〈添加物〉￥ｎアルファー化デンプン、結晶セルロース、ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、部分アルファー化デンプン
100350501,1124003F2222,成分・含量：<BR>1錠中￥ｎニトラゼパム5mg￥ｎ<<BR>>添加物：<BR>乳糖水和物，トウモロコシデンプン，結晶セルロース，ステアリン酸マグネシウム￥ｎ
100345101,1124003F2230,1錠中に次の成分を含有<<BR>>有効成分<BR>ニトラゼパム(日局)5mg<<BR>>添加物<BR>乳糖水和物、トウモロコシデンプン、D-マンニトール、ポビドン、タルク、ステアリン酸マグネシウム
100343701,1124003F2249,1錠中の有効成分：<BR>日局ニトラゼパム・・・・・5mg<<BR>>添加物：<BR>乳糖水和物、トウモロコシデンプン、セルロース、ヒドロキシプロピルセルロース、カルメロースCa、ステアリン酸Mg、無水ケイ酸
100349901,1124003F2257,ヒルスカミン錠5mgは、1錠中にニトラゼパム5mgを含有する。<<BR>>添加物として乳糖水和物、トウモロコシデンプン、結晶セルロース、低置換度ヒドロキシプロピルセルロース、ヒドロキシプロピルセルロース及びステアリン酸マグネシウムを含有する。
100352901,1124003F3040,組成<BR>チスボン錠10は１錠中ニトラゼパム10mgおよび添加物として乳糖水和物、結晶セルロース、カルメロースカルシウム、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム、軽質無水ケイ酸を含有する。
100354301,1124003F3083,1錠中に次の成分を含有<<BR>>有効成分<BR>ニトラゼパム(日局)10mg<<BR>>添加物<BR>乳糖水和物、トウモロコシデンプン、D-マンニトール、ポビドン、タルク、ステアリン酸マグネシウム
100355001,1124003F3091,有効成分の名称<BR>ニトラゼパム<<BR>>含量<BR>1錠中ニトラゼパム10ｍｇ<<BR>>添加物<BR>乳糖水和物、トウモロコシデンプン、ヒドロキシプロピルセルロース、低置換度ヒドロキシプロピルセルロース、二酸化ケイ素、ステアリン酸Ｍｇ、黄色4号（タートラジン）
100357401,1124003F3121,成分・含量：<BR>1錠中￥ｎニトラゼパム10mg￥ｎ<<BR>>添加物：<BR>乳糖水和物，トウモロコシデンプン，結晶セルロース，ステアリン酸マグネシウム，黄色5号アルミニウムレーキ￥ｎ
100361102,1124004F1042,有効成分（1錠中）<BR>ニメタゼパム3mg<<BR>>添加物<BR>D-マンニトール、トウモロコシデンプン、カルメロースカルシウム、ポリビニルアルコール（部分けん化物）、ステアリン酸マグネシウム、黄色五号アルミニウムレーキ
100362802,1124004F2030,有効成分（1錠中）<BR>ニメタゼパム5mg<<BR>>添加物<BR>D-マンニトール、トウモロコシデンプン、カルメロースカルシウム、ポリビニルアルコール（部分けん化物）、ステアリン酸マグネシウム、黄色五号アルミニウムレーキ
100363501,1124005C1032,細粒1g中に次の成分を含有<<BR>>有効成分<BR>ハロキサゾラム(日局)10mg<<BR>>添加物<BR>D-マンニトール、乳糖水和物、バレイショデンプン、ヒドロキシプロピルセルロース
100364201,1124005F1020,1錠中に次の成分を含有<<BR>>有効成分<BR>ハロキサゾラム(日局)5mg<<BR>>添加物<BR>乳糖水和物、結晶セルロース、バレイショデンプン、タルク、ステアリン酸カルシウム、ヒドロキシプロピルセルロース
100365901,1124005F2027,1錠中に次の成分を含有<<BR>>有効成分<BR>ハロキサゾラム(日局)10mg<<BR>>添加物<BR>乳糖水和物、結晶セルロース、バレイショデンプン、タルク、ステアリン酸カルシウム、ヒドロキシプロピルセルロース
100368003,1124007F1020,有効成分<BR>トリアゾラム<<BR>>含量（1錠中）<BR>0.125mg<<BR>>添加物<BR>安息香酸ナトリウム￥ｎ軽質無水ケイ酸￥ｎ結晶セルロース￥ｎジオクチルソジウムスルホサクシネート￥ｎステアリン酸マグネシウム￥ｎトウモロコシデンプン￥ｎ乳糖水和物￥ｎ青色2号アルミニウムレーキ￥ｎ赤色3号アルミニウムレーキ
115083401,1124007F1038,有効成分（含量）<BR>トリアゾラム（0.125mg）<<BR>>添加物<BR>乳糖水和物、結晶セルロース、トウモロコシデンプン、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム、軽質無水ケイ酸、青色2号、赤色106号
100370301,1124007F1046,販売名<BR>トリアゾラム錠0.125mg「EMEC」<<BR>>有効成分（１錠中）<BR>トリアゾラム0.125mg<<BR>>添加物<BR>軽質無水ケイ酸、ジメチルポリシロキサン（内服用）、トウモロコシデンプン、ポビドン、D‐マンニトール
116711501,1124007F1054,1錠中：トリアゾラム……0.125mg￥ｎ*〈添加物〉￥ｎアスパルテーム（L-フェニルアラニン化合物）、グルコノ-δ-ラクトン、クロスポビドン、ステアリン酸マグネシウム、ヒドロキシプロピルセルロース、D-マンニトール、水アメ、メタケイ酸アルミン酸マグネシウム、香料
119184401,1124007F1062,ミンザイン錠0.125mg<BR>￥ｎ1錠中トリアゾラム0.125mgを含有する。￥ｎ添加物として乳糖，セルロース，トウモロコシデンプン，ヒドロキシプロピルセルロース，ステアリン酸マグネシウム，赤色3号アルミニウムレーキ，青色1号を含有する。
120150501,1124007F1070,成分・含量(1錠中)<BR>トリアゾラム0.125mg<<BR>>添加物<BR>D-マンニトール、メタケイ酸アルミン酸マグネシウム、ヒドロキシプロピルセルロース、水アメ、グルコノ-δ-ラクトン、クロスポビドン、アスパルテーム(L-フェニルアラニン化合物)、香料、ステアリン酸マグネシウム
100371003,1124007F2026,有効成分<BR>トリアゾラム<<BR>>含量（1錠中）<BR>0.25mg<<BR>>添加物<BR>安息香酸ナトリウム￥ｎ軽質無水ケイ酸￥ｎ結晶セルロース￥ｎジオクチルソジウムスルホサクシネート￥ｎステアリン酸マグネシウム￥ｎトウモロコシデンプン￥ｎ乳糖水和物￥ｎ青色2号アルミニウムレーキ￥ｎ
100372701,1124007F2034,アサシオン0.25mg錠は、1錠中にトリアゾラム0.25mgを含有する。<<BR>>添加物として、カルメロースカルシウム、ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、ヒドロキシプロピルセルロースを含有する。
100373401,1124007F2042,アスコマーナ錠0.25は、１錠中にトリアゾラム0.25mgを含有する。<<BR>>添加物として、乳糖水和物、トウモロコシデンプン、ヒドロキシプロピルセルロース、結晶セルロース及びステアリン酸マグネシウムを含有する。
100374101,1124007F2050,成分・含量<BR>1錠中トリアゾラム0.25mg<<BR>>添加物<BR>乳糖水和物、トウモロコシデンプン、結晶セルロース、クロスカルメロースNa、ヒドロキシプロピルセルロース、ステアリン酸Mg、赤色3号、青色1号
100376501,1124007F2093,有効成分の名称<BR>トリアゾラム<<BR>>含量<BR>1錠中トリアゾラム0.25ｍｇ<<BR>>添加物<BR>乳糖水和物、セルロース、トウモロコシデンプン、安息香酸Ｎａ、ジオクチルソジウムスルホサクシネート、ヒドロキシプロピルセルロース、低置換度ヒドロキシプロピルセルロース、二酸化ケイ素、ステアリン酸Ｍｇ、青色２号
115084101,1124007F2107,有効成分（含量）<BR>トリアゾラム（0.25mg）<<BR>>添加物<BR>乳糖水和物、結晶セルロース、トウモロコシデンプン、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム、軽質無水ケイ酸、青色2号
100378902,1124007F2115,1錠中：トリアゾラム……0.25mg￥ｎ〈添加物〉￥ｎステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、ヒドロキシプロピルセルロース、部分アルファー化デンプン
116369801,1124007F2158,※組成<BR>トリアゾラム錠0.25mg「TSU」は１錠中トリアゾラム0.25mgおよび添加物として、乳糖水和物、トウモロコシデンプン、ヒドロキシプロピルセルロース、カルメロースカルシウム、ステアリン酸マグネシウムを含有する。
100380201,1124007F2166,ミンザイン錠0.25mg<BR>￥ｎ1錠中トリアゾラム0.25mgを含有する。￥ｎ添加物として乳糖，トウモロコシデンプン，セルロース，ヒドロキシプロピルセルロース，ステアリン酸マグネシウム，青色2号アルミニウムレーキを含有する。
100375801,1124007F2174,成分・含量<BR>1錠中、トリアゾラム0.25mg含有<<BR>>添加物<BR>乳糖水和物￥ｎトウモロコシデンプン￥ｎカルメロースカルシウム￥ｎステアリン酸マグネシウム￥ｎ青色2号￥ｎ赤色3号アルミニウムレーキ￥ｎ黄色4号
120149901,1124007F2182,成分・含量(1錠中)<BR>トリアゾラム0.25mg<<BR>>添加物<BR>乳糖水和物、トウモロコシデンプン、部分アルファー化デンプン、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム
100382601,1124008F1024,１錠中フルニトラゼパム１mgを含有する白色の素錠である。￥ｎ添加物として結晶セルロース、ステアリン酸マグネシウム、タルク、乳糖水和物を含有する。
100383302,1124008F1032,成分（1錠中）有効成分・含有量<BR>日局フルニトラゼパム1mg<<BR>>成分（1錠中）添加物<BR>結晶セルロース、乳糖水和物、タルク、ステアリン酸マグネシウム
100384001,1124008F1040,有効成分の名称<BR>フルニトラゼパム<<BR>>含量<BR>1錠中フルニトラゼパム1ｍｇ<<BR>>添加物<BR>乳糖水和物、セルロース、低置換度ヒドロキシプロピルセルロース、ステアリン酸Ｍｇ、タルク、二酸化ケイ素
113897901,1124008F1059,有効成分(1錠中)<BR>フルニトラゼパム1mg<<BR>>添加物<BR>乳糖水和物、セルロース、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム、タルク、二酸化ケイ素
112089901,1124008F1067,有効成分<BR>1錠中、日局フルニトラゼパム1mg<<BR>>添加物<BR>乳糖、結晶セルロース、低置換度ヒドロキシプロピルセルロース、タルク、ステアリン酸マグネシウム、含水二酸化ケイ素
100385701,1124008F2020,１錠中フルニトラゼパム２mgを含有する白色の素錠である。￥ｎ添加物として結晶セルロース、ステアリン酸マグネシウム、タルク、乳糖水和物を含有する。
100386402,1124008F2039,成分（1錠中）有効成分・含有量<BR>日局フルニトラゼパム2mg<<BR>>成分（1錠中）添加物<BR>結晶セルロース、乳糖水和物、タルク、ステアリン酸マグネシウム
114656101,1124008F2047,有効成分<BR>1錠中、日局フルニトラゼパム2mg<<BR>>添加物<BR>乳糖、結晶セルロース、低置換度ヒドロキシプロピルセルロース、タルク、ステアリン酸マグネシウム、含水二酸化ケイ素
115277701,1124008F2055,有効成分の名称<BR>フルニトラゼパム<<BR>>含量<BR>1錠中フルニトラゼパム2ｍｇ<<BR>>添加物<BR>乳糖水和物、セルロース、低置換度ヒドロキシプロピルセルロース、ステアリン酸Ｍｇ、タルク、二酸化ケイ素
100388801,1124009F1037,有効成分（1錠中）<BR>ブロチゾラム0.25mg<<BR>>添加物<BR>乳糖水和物，トウモロコシデンプン，ヒドロキシプロピルセルロース，デンプングリコール酸ナトリウム，無水ケイ酸，ステアリン酸マグネシウム
100392501,1124009F1070,成分・含量<BR>１錠中ブロチゾラム０．２５ｍｇ<<BR>>添加物<BR>乳糖水和物、結晶セルロース、部分アルファー化デンプン、ヒドロキシプロピルセルロース、硬化油
100394901,1124009F1096,成分・含量<BR>1錠中ブロチゾラム0.25mgを含有<<BR>>添加物<BR>乳糖水和物、結晶セルロース、部分アルファー化デンプン、ヒドロキシプロピルセルロース、硬化油
100396301,1124009F1118,有効成分<BR>1錠中、ブロチゾラム0.25mg<<BR>>添加物<BR>乳糖、結晶セルロース、トウモロコシデンプン、ステアリン酸マグネシウム、タルク
100397002,1124009F1126,有効成分<BR>１錠中にブロチゾラム0.25mgを含有<<BR>>添加物<BR>乳糖水和物、結晶セルロース、ヒドロキシプロピルセルロース、クロスポビドン、タルク、ステアリン酸マグネシウム
100399401,1124009F1150,ブロチゾラン錠0.25mg<BR>￥ｎ1錠中ブロチゾラム0.25mgを含有する。￥ｎ添加物として乳糖，トウモロコシデンプン，セルロース，カルメロースカルシウム，グリセリン，ヒドロキシプロピルセルロース，ステアリン酸マグネシウムを含有する。
114657801,1124009F1185,販売名<BR>ブロチゾラムM錠0.25「EMEC」<<BR>>有効成分（１錠中）<BR>ブロチゾラム0.25mg<<BR>>添加物<BR>軽質無水ケイ酸、ジメチルポリシロキサン（内服用）、トウモロコシデンプン、ポリビニルアルコール（部分けん化物）、D‐マンニトール
116885301,1124009F1193,１錠中、ブロチゾラム0.25mgを含有する。￥ｎ添加物として、乳糖水和物、トウモロコシデンプン、セルロース、クロスカルメロースＮａ、ステアリン酸Ｍｇを含有する。
112091202,1124009F1207,成分・含量（1錠中）<BR>ブロチゾラム：0.25mg<<BR>>添加物<BR>D-マンニトール、クロスポビドン、無水ケイ酸、ステアリン酸マグネシウム
100390101,1124009F1215,1錠中の有効成分：<BR>ブロチゾラム・・・・・0.25mg<<BR>>添加物：<BR>乳糖水和物、トウモロコシデンプン、ヒドロキシプロピルセルロース、デンプングリコール酸Na、無水ケイ酸、ステアリン酸Mg
100387104,1124009F1223,成分・含量<BR>１錠中ブロチゾラム0.25mg<<BR>>添加物<BR>乳糖水和物、トウモロコシデンプン、カルボキシメチルスターチナトリウム、結晶セルロース、ゼラチン、ステアリン酸マグネシウム
112090501,1124009F1231,有効成分の名称<BR>ブロチゾラム<<BR>>含量<BR>1錠中ブロチゾラム0.25ｍｇ<<BR>>添加物<BR>乳糖水和物、セルロース、トウモロコシデンプン、ヒドロキシプロピルセルロース、デンプングリコール酸Ｎａ、二酸化ケイ素、ステアリン酸Ｍｇ
100391802,1124009F1240,成分・含量（1錠中）<BR>ブロチゾラム0.25mg<<BR>>添加物<BR>乳糖水和物、セルロース、カルメロースNa、ヒドロキシプロピルセルロース、ステアリン酸Mg
100398701,1124009F1258,有効成分（１錠中）<BR>ブロチゾラム0.25mg<<BR>>添加物<BR>乳糖水和物、トウモロコシデンプン、ヒドロキシプロピルセルロース、ステアリン酸マグネシウム、結晶セルロース
