Pattern,ClusterNumber1,,Count,Cluster_number.Record.,paste..Cluster....Cluster_number.Record..
[Number][Unit]中に次の成分を含有<<BR>><BR>[ActIngreName]（石[Form]系炭化[Form]素由来の球形[Form]多孔質炭素を高温にて酸化及び還元処理して得た[ActIngreName]）[Number][Unit],10,96,1,1,Cluster  1
〈成分分量〉<BR>本剤は健康な食用獣（ブタ）の腸粘膜から得た[ActIngreName]の[Form]で下記の成分を含有する．<<BR>>有効成分[Number][Unit]中<BR>[ActIngreName][Number][Unit],55,94,4,1,Cluster  1
容量<BR>[Number][Unit]<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]健康なブタの小腸粘膜に由来,97,95,7,1,Cluster  1
成分分量（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]備考：ウシの血[Form]抽出物なお[ActIngreName]を製造する際にブタの肺に由来するトロンボプラスチンを使用している,95,100,2,1,Cluster  1
成分含有量[Number][Unit]（[Number][Unit]）中有効成分<BR>[ActIngreName][Number][Unit]（[ActIngreName]換算糖含量[Number][Unit]）成分の[ActIngreName]は結核菌熱[Form]抽出物であるなお[ActIngreName]の初期製造工程における培養培地成分としてニワトリの卵を使用している,95,100,1,1,Cluster  1
成分含有量：有効成分：[Number][Unit]中<BR>凍結乾燥[Form]注[Number]）：[Number][Unit]乾燥菌体として：[Number][Unit]（[Number]ＫＥに相当）<<BR>>注[Number]）ストレプトコックスピオゲネス（Ａ群[Number]型）Ｓｕ株ペニシリン処理凍結乾燥[Form]製造工程において培地成分としてＴｏｄｄＨｅｗｉｔｔＢｒｏｔｈ（ウシの心臓骨格筋骨髄脂肪組織結合組織及び乳並びにブタの心臓膵臓及び胃由来）牛肉（ウシの骨格筋由来）ペプトンＮ[Form]（ウシの乳をブタの[ActIngreName]（ブタ膵臓由来酵素）で処理したもの）及びスキムミルク（ウシの乳由来）を使用している,33,98,4,1,Cluster  1
成分含量<BR>[ActIngreName]（石[Form]系炭化[Form]素由来の球形[Form]多孔質炭素を高温にて酸化及び還元処理して得た[ActIngreName]）[Number][Unit],10,96,2,1,Cluster  1
成分含量<BR>[Number][Unit][Number][Unit]中[ActIngreName]（[ActIngreName]）[Number][Unit]（[Unit]）<<BR>>〔[ActIngreName]（[ActIngreName]）の活性はＷＨＯの国際標準品ＩｎｔｅｒｎａｔｉｏｎａｌＲｅｆｅｒｅｎｃｅＰｒｅｐａｒａｔｉｏｎｏｆＣａｌｃｉｔｏｎｉｎＳａｌｍｏｎｆｏｒＢｉｏａｓｓａｙを基準にして生物学的測定法により測定し国際単位で表示されている．〕,88,97,1,1,Cluster  1
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit]<<BR>>備考<BR>本剤の添加物の[ActIngreName]はヒトの血漿（採血国：米国採血方法：非献血）を原材料としている,95,100,1,1,Cluster  1
成分含量<BR>[Number][Unit]中[ActIngreName][Number][Unit][ActIngreName]（石[Form]系[Smell]族由来の球形[Form]多孔質炭素を高温にて酸化及び熱処理して得たもの）,10,96,2,1,Cluster  1
成分含量<BR>[Number][Unit]中[ActIngreName]（[ActIngreName]）[Number][Unit]（[Unit]）<<BR>>〔[ActIngreName]（[ActIngreName]）の活性はＷＨＯの国際標準品ＩｎｔｅｒｎａｔｉｏｎａｌＲｅｆｅｒｅｎｃｅＰｒｅｐａｒａｔｉｏｎｏｆＣａｌｃｉｔｏｎｉｎＳａｌｍｏｎｆｏｒＢｉｏａｓｓａｙを基準にして生物学的測定法により測定し国際単位で表示されている．〕,88,97,1,1,Cluster  1
成分含量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName][Number][Unit]（抗第Ｘａ因子活性）含有備考：ブタの腸粘膜由来,97,95,1,1,Cluster  1
成分含量<BR>[Number][Unit]（[Number][Unit]）中[ActIngreName]（ブタの小腸由来）[Number][Unit]（抗第Ｘａ因子活性）含有,97,95,1,1,Cluster  1
成分含量<BR>成分[Number][Unit]中：[ActIngreName][Number][Unit]を[Number][Unit]<<BR>><BR>：[Number][Unit]<<BR>><BR>［[ActIngreName]（[Number][Unit]）］スギ花粉を原料とし[Number][Unit][ActIngreName]で抽出して得たアレルゲンを含む[Form][Number][Unit][ActIngreName]：[ActIngreName][Number][Unit]（Ｗ／Ｗ）[ActIngreName][Number][Unit]（Ｗ／Ｗ）<<BR>><BR>［ＪＡＵ／[Unit]］アレルギー患者の皮膚試験に基づき日本アレルギー学会により設定された国内独自のアレルゲン活性単位（ＪａｐａｎｅｓｅＡｌｌｅｒｇｙＵｎｉｔｓ／[Unit]）でありスギ花粉[Form]においてはＣｒｙｊ[Number]が[Number][Unit]含まれる[Form]を[Number][Unit]と表示できる[Number]）<<BR>><BR>［Ｃｒｙｊ[Number]］スギ花粉中に存在する主要アレルゲンの一つでありヒト皮膚反応活性と相関することが報告されている[Number]）,59,99,2,1,Cluster  1
成分含量（[Number][Unit][Number][Unit]中）<BR>[ActIngreName][Number][Unit]含有<<BR>>本剤の有効成分はウサギの皮膚抽出物である本剤の製造に用いるワクシニアウイルスの培養には鶏卵ウサギカゼインペプトン（ウシ乳及びブタ膵臓由来）を使用している,95,100,2,1,Cluster  1
成分含量（[Number][Unit][Number][Unit]中）<BR>[ActIngreName][Number]＄[ActIngreName]の活性は標準品を基準にして生物学的測定法により測定し＄で表示されている,88,97,3,1,Cluster  1
成分含量（[Number][Unit][Number][Unit]中）<BR>[ActIngreName][Number]＄注[Number]）<<BR>><BR>注[Number]）[ActIngreName]の活性は[ActIngreName]常用標準品を基準にして生物学的測定法により測定し＄で表示されている,88,97,2,1,Cluster  1
有効成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit][Number][Unit]中）<BR>[Number][Unit]（抗第Ｘａ因子活性）<<BR>>本剤はブタ小腸粘膜由来のヘパリンを化学的に分解し分離精製して得た[ActIngreName]の製剤である,55,94,1,1,Cluster  1
有効成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit][Number][Unit]中）<BR>[Number][Unit]（抗第Ｘａ因子活性）<<BR>>本剤はブタ腸粘膜由来のヘパリンを化学的に分解し分離精製して得た[ActIngreName]の製剤である,55,94,1,1,Cluster  1
有効成分<BR>[ActIngreName]<<BR>>含量（[Number][Unit]中）<BR>[Number][Unit]（抗第Ｘａ因子活性）<<BR>>含量（[Number][Unit][Number][Unit]中）<BR>[Number][Unit]（抗第Ｘａ因子活性）<<BR>>本剤の有効成分はブタの小腸粘膜由来である,55,94,1,1,Cluster  1
有効成分<BR>[ActIngreName][Number][Unit]中[Number][Unit]：[Number][Unit]はマウス腹腔内投与ＬＤ[Number]値備考：Ａ型ボツリヌス菌によって産生される製造工程でウシ（心臓血[Form]乳骨格筋膵臓）及びヒツジ（血[Form]）由来成分を使用している,33,98,2,1,Cluster  1
有効成分<BR>[ActIngreName]…[Number][Unit]（抗第Ｘａ因子活性）備考：健康なブタの小腸粘膜に由来,97,95,1,1,Cluster  1
有効成分〔[Number][Unit]中〕<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>本剤［[ActIngreName]］は[ActIngreName]に由来する．（採血国：日本採血の区別：献血）,95,100,2,1,Cluster  1
有効成分（[Number][Unit][Number][Unit]中）<BR>[ActIngreName]（[ActIngreName]）[Number][Unit]<<BR>>（[ActIngreName]の活性はＷＨＯの国際標準品ＩｎｔｅｒｎａｔｉｏｎａｌＲｅｆｅｒｅｎｃｅＰｒｅｐａｒａｔｉｏｎｏｆＣａｌｃｉｔｏｎｉｎＳａｌｍｏｎｆｏｒＢｉｏａｓｓａｙを基準にして生物学的測定法により測定し国際単位で表示されている）,88,97,1,1,Cluster  1
有効成分：[ActIngreName]<BR>含量（[Number][Unit]中）[Number][Unit]備考[ActIngreName]採血国：米国オーストリアドイツ採血方法：非献血<<BR>>有効成分：[ActIngreName]画分<BR>含量（[Number][Unit]中）[Number][Unit]（[ActIngreName]として）備考ウシ血[Form]由来成分<<BR>>有効成分：[ActIngreName]<BR>含量（[Number][Unit]中）[Number][Unit]（[Fomula]Ｅ）備考ウシ肺抽出物<<BR>>[DrugParts]：[ActIngreName]<BR>含量（[Number][Unit]中）[Number][Unit]備考ウマ深部指状[ActIngreName],95,100,3,1,Cluster  1
本剤は[ActIngreName]の[Form]を[CaseName]に充填した[Form]製剤で下記成分を含有する．<<BR>>有効成分（[Number][Unit]中）<BR>[ActIngreName][Number][Unit]<<BR>>備考<BR>[ActIngreName]はブタの小腸粘膜に由来する．,55,94,4,1,Cluster  1
本剤は[Color]な[Form]である<<BR>>成分含量（[Number][Unit][Number][Unit]中）<BR>[ActIngreName][Number]＄<<BR>>[ActIngreName]の活性は標準品を基準にして生物学的測定法により測定し＄で表示されている,88,97,1,1,Cluster  1
本剤は[Number][Unit]中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]備考：ヒト生体由来成分抽出物（尿）,95,100,2,1,Cluster  1
本剤は[Number][Unit]中健康な食用獣（ブタ）の腸粘膜から得た[ActIngreName][Number][Unit]を含む[Color]の[Form]である,1,93,1,1,Cluster  1
本剤は[Number][Unit]（[Number][Unit]）中に[ActIngreName]（ブタの小腸粘膜由来）を[Number][Unit]（抗第Ｘａ因子活性）含有する,97,95,2,1,Cluster  1
本剤は[Number][Unit]（[Number][Unit]）中に[ActIngreName]（ブタの腸由来）を[Number][Unit]（抗第Ｘａ因子活性）含有する[Form]であるまた,97,95,2,1,Cluster  1
本剤は[Number][Unit]（[Number][Unit]）中に下記の成分を含有する<<BR>>有効成分<BR>[ActIngreName][Number]＄：[ActIngreName]の活性は標準品を基準にして生物学的測定法により測定し＄で表示されている,88,97,2,1,Cluster  1
本剤はヒトの血漿から製した[ActIngreName]を含む[Form]で[Number][Unit]（[Number][Unit]製剤）中の組成は下記のとおりである<<BR>>有効成分<BR>[ActIngreName]：[Number][Unit]<<BR>>本剤の有効成分である[ActIngreName]はヒトの血[Form]（採血国：日本採血方法：献血）を原材料としているまた本剤は製造工程でブタの腸粘膜由来成分（[ActIngreName]）を使用している,95,100,2,1,Cluster  1
本剤は健康なブタの腸粘膜から得た[ActIngreName]の製剤で[Number][Unit]中下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit],55,94,5,1,Cluster  1
本剤は健康なブタの腸粘膜から得た[ActIngreName]の製剤で[Number][Unit]中各々下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit],55,94,2,1,Cluster  1
本剤は健康なブタの腸粘膜由来の[ActIngreName]を化学的に分解し分離精製して得た[ActIngreName]の製剤で[Number][Unit]（[Number][Unit]）中下記の成分を含有する<<BR>>成分[Number][Unit]（[Number][Unit]）中<BR>[ActIngreName][Number][Unit]（抗第Ｘａ因子活性）,55,94,4,1,Cluster  1
組み合わせＡ：[CaseName][Number]（[ActIngreName][Form]）：有効成分：[ActIngreName]<BR>[Number][Unit]中の分量：[Number][Unit]備考[ActIngreName]採血国：米国ドイツオーストリア採血の区分：非献血<<BR>>組み合わせＡ：[CaseName][Number]（[ActIngreName][Form]）：有効成分：[ActIngreName]<BR>[Number][Unit]中の分量：[Number][Unit]備考[ActIngreName]採血国：米国ドイツオーストリア採血の区分：非献血<<BR>>組み合わせＡ：[CaseName][Number]（[ActIngreName]）：有効成分：[ActIngreName]<BR>[Number][Unit]中の分量：[Number][Fomula]Ｅ備考ウシの肺抽出物<<BR>>組み合わせＡ：[CaseName][Number]（[ActIngreName]）：総量<BR>[Number][Unit]中の分量：[Number][Unit]<<BR>>[Number][Unit]とは正常人血漿[Number][Unit]に相当する[ActIngreName]本剤は製造工程でヒトの血[Form]抽出成分（アンチ[ActIngreName]）を使用している（採血国：米国ドイツオーストリア採血の区分：非献血）本剤は製造工程でブタの腸粘膜由来成分（ヘパリン）を使用している<<BR>>組み合わせＢ：[CaseName][Number]（[ActIngreName][Form]）：有効成分：[ActIngreName]<BR>[Number][Unit]中の分量：[Number][Unit]備考[ActIngreName]採血国：米国ドイツオーストリア採血の区分：非献血<<BR>>組み合わせＢ：[CaseName][Number]（[ActIngreName][Form]）：有効成分：[ActIngreName]<BR>[Number][Unit]中の分量：[Number][Unit]<<BR>>組み合わせＢ：[CaseName][Number]（[ActIngreName][Form]）：総量<BR>[Number][Unit]中の分量：[Number][Unit]<<BR>>「献血又は非献血の区別の考え方」の項を参照,95,100,4,1,Cluster  1
組成性状<BR>本剤は[ActIngreName][Number][Unit]から白血球及び血漿の大部分を除去した赤血球層に凍害保護[Form]を加えて凍結保存したものを解凍後凍害保護[Form]を洗浄除去したもので最終洗浄[Form]を少量含有する[Color]の[Form]であり他の赤血球製剤と比べて[Number][Unit]中の上清ヘモグロビン量の多いことが認められる［採血国：日本］［採血方法：献血］<<BR>>最終洗浄[Form]<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,24,3,2,1,Cluster  1
組成性状<BR>本剤は[ActIngreName][Number][Unit]から白血球及び血漿の大部分を除去した赤血球層に凍害保護[Form]を加えて凍結保存したものを解凍後凍害保護[Form]を洗浄除去したもので最終洗浄[Form]を少量含有する[Color]の[Form]であり他の赤血球製剤と比べて[Number][Unit]中の上清ヘモグロビン量の多いことが認められる［採血国：日本］［採血方法：献血］本剤には輸血による移植片対宿主病（ＧＶＨＤ：ｇｒａｆｔｖｅｒｓｕｓｈｏｓｔｄｉｓｅａｓｅ）[Number]）を予防する目的で[Number][Unit]以上[Number][Unit]以下の放射線が照射されており本剤は放射線を照射しない製剤よりも保存に伴い上清中の[ActIngreName]濃度が増加することが認められる［[Number][Unit]由来の本剤[Number][Unit]に含まれる上清中の総[ActIngreName]量（[ActIngreName]濃度）は製造直後で平均[Number][Unit]（[Number][Unit]）製造後[Number]時間で平均[Number][Unit]（[Number][Unit]）である放射線を照射しない場合は製造後[Number]時間で平均[Number][Unit]（[Number][Unit]）である］数値は採血当日の[Number][Unit]由来赤血球濃厚[Form]－ＬＲ「日赤」に[Number][Unit]の放射線を照射しこれを原料として採血後[Number]日目に冷凍した赤血球を解凍し製造した場合のもの（ｎ＝[Number]）<<BR>>最終洗浄[Form]<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,23,5,2,1,Cluster  1
組成性状<BR>本剤は[ActIngreName][Number][Unit]から白血球及び血漿の大部分を除去した赤血球層を生理[ActIngreName][Form]で洗浄した後同[Form]を加えて全量を[Number][Unit]とした濃[Color]の[Form]である静置するとき主として赤血球からなる沈層と[Color]な[Form]層とに分かれ[Form]層はヘモグロビンによる弱い着色を認めることがある［採血国：日本］［採血方法：献血］,7,2,2,1,Cluster  1
組成性状<BR>本剤は[ActIngreName][Number][Unit]から白血球及び血漿の大部分を除去した赤血球層を生理[ActIngreName][Form]で洗浄した後同[Form]を加えて全量を[Number][Unit]とした濃[Color]の[Form]である静置するとき主として赤血球からなる沈層と[Color]な[Form]層とに分かれ[Form]層はヘモグロビンによる弱い着色を認めることがある［採血国：日本］［採血方法：献血］本剤には輸血による移植片対宿主病（ＧＶＨＤ：ｇｒａｆｔｖｅｒｓｕｓｈｏｓｔｄｉｓｅａｓｅ）[Number]）を予防する目的で[Number][Unit]以上[Number][Unit]以下の放射線が照射されており本剤は放射線を照射しない製剤よりも保存に伴い上清中の[ActIngreName]濃度が増加することが認められる［[Number][Unit]由来の本剤[Number][Unit]に含まれる上清中の総[ActIngreName]量（[ActIngreName]濃度）は製造直後で平均[Number][Unit]（[Number][Unit]）製造後[Number]時間で平均[Number][Unit]（[Number][Unit]）である放射線を照射しない場合は製造後[Number]時間で平均[Number][Unit]（[Number][Unit]）である］<<BR>>数値は採血当日の[Number][Unit]由来赤血球濃厚[Form]－ＬＲ「日赤」に[Number][Unit]の放射線を照射し採血後[Number]日目に製造した場合のもの（ｎ＝[Number]）,2,4,2,1,Cluster  1
組成性状<BR>本剤は[ActIngreName][Number][Unit]から白血球及び血漿の大部分を除去し洗浄したＯ型の赤血球層に白血球の大部分を除去したＡＢ型のヒト血漿を[ActIngreName][Number][Unit]に由来する相当量加えた濃[Color]の[Form]であり静置するとき赤血球の沈層と[Color]の[Form]層とに分かれる[Form]層は脂肪により混濁することがありまたヘモグロビンによる弱い着色を認めることがあるなおヒト血漿には原料血[Form]由来の血[Form]保存[Form]（[ActIngreShortName]Ｄ[Form]）（[ActIngreName][Number][Unit]に対し[Number][Unit]混合）を含有する［採血国：日本］［採血方法：献血］<<BR>>血[Form]保存[Form]（[ActIngreShortName]Ｄ[Form]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,7,2,2,1,Cluster  1
組成性状<BR>本剤は[ActIngreName][Number][Unit]から白血球及び血漿の大部分を除去し洗浄したＯ型の赤血球層に白血球の大部分を除去したＡＢ型のヒト血漿を[ActIngreName][Number][Unit]に由来する相当量加えた濃[Color]の[Form]であり静置するとき赤血球の沈層と[Color]の[Form]層とに分かれる[Form]層は脂肪により混濁することがありまたヘモグロビンによる弱い着色を認めることがあるなおヒト血漿には原料血[Form]由来の血[Form]保存[Form]（[ActIngreShortName]Ｄ[Form]）（[ActIngreName][Number][Unit]に対し[Number][Unit]混合）を含有する［採血国：日本］［採血方法：献血］本剤には輸血による移植片対宿主病（ＧＶＨＤ：ｇｒａｆｔｖｅｒｓｕｓｈｏｓｔｄｉｓｅａｓｅ）[Number]）を予防する目的で[Number][Unit]以上[Number][Unit]以下の放射線が照射されており本剤は放射線を照射しない製剤よりも保存に伴い上清中の[ActIngreName]濃度が増加することが認められる［[Number][Unit]由来の本剤[Number][Unit]に含まれる上清中の総[ActIngreName]量（[ActIngreName]濃度）は製造直後で平均[Number][Unit]（[Number][Unit]）製造後[Number]時間で平均[Number][Unit]（[Number][Unit]）である放射線を照射しない場合は製造後[Number]時間で平均[Number][Unit]（[Number][Unit]）である］<<BR>>数値は採血当日の[Number][Unit]由来赤血球濃厚[Form]－ＬＲ「日赤」に[Number][Unit]の放射線を照射し採血後[Number]日目に製造した場合のもの（ｎ＝[Number]）<<BR>>血[Form]保存[Form]（[ActIngreShortName]Ｄ[Form]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,2,4,2,1,Cluster  1
組成性状<BR>本剤は[ActIngreName][Number][Unit]又は[Number][Unit]から血漿の大部分を除去した赤血球層に凍害保護[Form]を加えて凍結保存したものを解凍後凍害保護[Form]を洗浄除去した[Color]の[Form]であり他の赤血球製剤と比べて[Number][Unit]中の上清ヘモグロビン量の多いことが認められる［採血国：日本］［採血方法：献血］<<BR>>最終洗浄[Form]<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,24,3,1,1,Cluster  1
組成性状<BR>本剤は[ActIngreName][Number][Unit]又は[Number][Unit]から血漿の大部分を除去した赤血球層に凍害保護[Form]を加えて凍結保存したものを解凍後凍害保護[Form]を洗浄除去した[Color]の[Form]であり他の赤血球製剤と比べて[Number][Unit]中の上清ヘモグロビン量の多いことが認められる［採血国：日本］［採血方法：献血］本剤には輸血による移植片対宿主病（ＧＶＨＤ：ｇｒａｆｔｖｅｒｓｕｓｈｏｓｔｄｉｓｅａｓｅ）[Number]）を予防する目的で[Number][Unit]以上[Number][Unit]以下の放射線が照射されており本剤は放射線を照射しない製剤よりも保存に伴い上清中の[ActIngreName]濃度が増加することが認められる［[Number][Unit]由来の本剤[Number][Unit]に含まれる上清中の総[ActIngreName]量（[ActIngreName]濃度）は製造直後で平均[Number][Unit]（[Number][Unit]）製造後[Number]時間で平均[Number][Unit]（[Number][Unit]）である放射線を照射しない場合は製造後[Number]時間で平均[Number][Unit]（[Number][Unit]）である］数値は採血後[Number]日目の[Number][Unit][ActIngreName]ＡＰ「日赤」を原料として冷凍した赤血球を解凍した後に[Number][Unit]の放射線を照射し製造した場合のもの（ｎ＝[Number]）<<BR>>最終洗浄[Form]<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,23,5,1,1,Cluster  1
組成性状<BR>本剤は血[Form]保存[Form]（[ActIngreShortName]Ｄ[Form]）を[Number][Unit]混合した[ActIngreName][Number][Unit]から白血球の大部分を除去した濃[Color]の[Form]であり静置するとき赤血球の沈層と[Color]の[Form]層とに分かれる[Form]層は脂肪により混濁することがありまたヘモグロビンによる弱い着色を認めることがある［採血国：日本］［採血方法：献血］<<BR>>血[Form]保存[Form]（[ActIngreShortName]Ｄ[Form]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,7,2,2,1,Cluster  1
組成性状<BR>本剤は血[Form]保存[Form]（[ActIngreShortName]Ｄ[Form]）を[Number][Unit]混合した[ActIngreName][Number][Unit]から白血球の大部分を除去し分離した新鮮な血漿を凍結したもので融解するとき[Color]ないし[Color]の[Form]となり脂肪により混濁することがある[Number][Unit]由来の本剤には約[Number][Unit]（[Number][Unit]）の[ActIngreName]が含まれている［採血国：日本］［採血方法：献血］<<BR>>血[Form]保存[Form]（[ActIngreShortName]Ｄ[Form]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,7,2,2,1,Cluster  1
組成性状<BR>本剤は血[Form]保存[Form]（[ActIngreShortName]Ｄ[Form]）を[Number][Unit]混合した[ActIngreName][Number][Unit]から白血球及び血漿の大部分を除去した赤血球層に赤血球保存用添加[Form]（ＭＡＰ[Form]）を約[Number][Unit]混和したもので[ActIngreShortName]Ｄ[Form]を少量含有する濃[Color]の[Form]であり静置するとき主として赤血球からなる沈層と[Color]の[Form]層とに分かれる[Form]層はヘモグロビンによる着色を認めることがある［採血国：日本］［採血方法：献血］<<BR>>血[Form]保存[Form]（[ActIngreShortName]Ｄ[Form]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする<<BR>>赤血球保存用添加[Form]（ＭＡＰ[Form]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,7,2,2,1,Cluster  1
組成性状<BR>本剤は血[Form]成分採血により白血球の大部分を除去して採取した新鮮な血漿を凍結したものである融解するとき[Color]ないし[Color]の[Form]となり脂肪により混濁することがある本剤には成分採血に由来する血[Form]保存[Form]（ＡＣＤ－[DrugParts]）が含まれる容量は[Number][Unit]であり本剤[Number][Unit]中には約[Number][Unit]（[Number][Unit]）の[ActIngreName]が含まれている［採血国：日本］［採血方法：献血］<<BR>>血[Form]保存[Form]（ＡＣＤ－[DrugParts]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,7,2,1,1,Cluster  1
組成性状<BR>本剤は血[Form]成分採血により白血球の大部分を除去して＞採取した新鮮な血漿を凍結したものである融解するとき[Color]ないし[Color]の[Form]となり脂肪により混濁することがある本剤には成分採血に由来する血[Form]保存[Form]（ＡＣＤ－[DrugParts]）が含まれる容量は[Number][Unit]であり本剤[Number][Unit]中には約[Number][Unit]（[Number][Unit]）の[ActIngreName]が含まれている［採血国：日本］［採血方法：献血］<<BR>>血[Form]保存[Form]（ＡＣＤ[DrugParts]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,7,2,1,1,Cluster  1
組成性状<BR>本剤は血漿に浮遊した血小板で患者のＨＬＡ型に適合する（供血者のリンパ球と患者の血清との交差試験に適合する）献血者から血[Form]成分採血により白血球の大部分を除去して採取した製剤である[Color]ないし[Color]の[Form]であり脂肪により混濁することがある本剤には血[Form]成分採血に由来する血[Form]保存[Form]（ＡＣＤ－[DrugParts]）が含まれる［採血国：日本］［採血方法：献血］<<BR>>血[Form]保存[Form]（ＡＣＤ－[DrugParts]）<BR>[ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName][Number][Unit][ActIngreName]を加えて溶かし全量を[Number][Unit]とする,1,1,1,1,Cluster  1
